"Date","Fuel_Price","IsHoliday","WSdep1","WSdep2","WSdep3","WSdep4"
"2010-02-05",2.572,FALSE,98499,139885,56655,106690
"2010-02-12",2.548,TRUE,79636,143081,62329,111390
"2010-02-19",2.514,FALSE,72378,135067,72212,107952
"2010-02-26",2.561,FALSE,55591,125048,55501,103653
"2010-03-05",2.625,FALSE,65526,132945,59201,112808
"2010-03-12",2.667,FALSE,45047,124419,61326,112048
"2010-03-19",2.72,FALSE,41070,127434,64719,117716
"2010-03-26",2.732,FALSE,40796,116689,59160,113117
"2010-04-02",2.719,FALSE,50080,126907,66172,111466
"2010-04-09",2.77,FALSE,43347,129467,69441,116771
"2010-04-16",2.808,FALSE,38711,128626,67421,126342
"2010-04-23",2.795,FALSE,42223,111703,60765,110205
"2010-04-30",2.78,FALSE,38132,109580,60745,107648
"2010-05-07",2.835,FALSE,39104,132218,67596,125592
"2010-05-14",2.854,FALSE,35355,126004,78904,120248
"2010-05-21",2.826,FALSE,30923,117118,57772,120037
"2010-05-28",2.759,FALSE,31379,111705,58986,121902
"2010-06-04",2.705,FALSE,38639,126059,64496,133057
"2010-06-11",2.668,FALSE,41298,134711,64201,131995
"2010-06-18",2.637,FALSE,43244,126911,66420,134118
"2010-06-25",2.653,FALSE,42364,110276,61964,120172
"2010-07-02",2.669,FALSE,36242,122268,62796,124821
"2010-07-09",2.642,FALSE,34524,133820,64929,126241
"2010-07-16",2.623,FALSE,32796,126470,60225,121387
"2010-07-23",2.608,FALSE,33639,115277,58125,116256
"2010-07-30",2.64,FALSE,36106,109943,57828,108782
"2010-08-06",2.627,FALSE,39071,136852,65856,131129
"2010-08-13",2.692,FALSE,42051,132948,66025,131289
"2010-08-20",2.664,FALSE,44878,120613,62691,124601
"2010-08-27",2.619,FALSE,36691,114326,60797,117930
"2010-09-03",2.577,FALSE,43630,130199,64286,124220
"2010-09-10",2.565,TRUE,44555,134374,64872,125027
"2010-09-17",2.582,FALSE,43583,129177,60505,124373
"2010-09-24",2.624,FALSE,39529,110184,54233,114703
"2010-10-01",2.603,FALSE,39018,118967,56158,113009
"2010-10-08",2.633,FALSE,30051,138866,60790,120764
"2010-10-15",2.72,FALSE,32775,133454,59131,123511
"2010-10-22",2.725,FALSE,34301,115463,53705,110052
"2010-10-29",2.716,FALSE,34597,116370,54463,105793
"2010-11-05",2.689,FALSE,38961,140504,53353,110333
"2010-11-12",2.728,FALSE,44778,144910,52564,110209
"2010-11-19",2.771,FALSE,32073,157621,55214,107544
"2010-11-26",2.735,TRUE,196810,170905,61809,106015
"2010-12-03",2.708,FALSE,54268,119422,45989,100834
"2010-12-10",2.843,FALSE,44606,145313,50531,111384
"2010-12-17",2.869,FALSE,67832,156941,54141,116522
"2010-12-24",2.886,FALSE,121470,181376,68232,121695
"2010-12-31",2.943,TRUE,47449,106206,47136,93677
"2011-01-07",2.976,FALSE,42581,137439,54928,107317
"2011-01-14",2.983,FALSE,35874,145156,57079,109956
"2011-01-21",3.016,FALSE,41052,130892,54524,103724
"2011-01-28",3.01,FALSE,39919,118958,55124,99043
"2011-02-04",2.989,FALSE,62891,145494,60453,114270
"2011-02-11",3.022,TRUE,71014,149700,61350,117549
"2011-02-18",3.045,FALSE,67901,129582,76866,112166
"2011-02-25",3.065,FALSE,50577,112865,58180,107743
"2011-03-04",3.288,FALSE,54451,130158,65683,116226
"2011-03-11",3.459,FALSE,43536,137192,67507,120621
"2011-03-18",3.488,FALSE,43129,134321,69907,123405
"2011-03-25",3.473,FALSE,42628,114964,67005,122280
"2011-04-01",3.524,FALSE,36258,118903,66295,112905
"2011-04-08",3.622,FALSE,36513,140375,72951,126746
"2011-04-15",3.743,FALSE,39639,132197,73864,126834
"2011-04-22",3.807,FALSE,41104,124162,73195,118632
"2011-04-29",3.81,FALSE,33942,112882,68974,111764
"2011-05-06",3.906,FALSE,43168,140305,73210,120883
"2011-05-13",3.899,FALSE,41899,131148,86052,124954
"2011-05-20",3.907,FALSE,32615,123051,65244,112581
